2021-10-20 14:39:16 INFO     正在从migu下载 ——> migu_Visiting Hours...
2021-10-20 14:39:48 INFO     正在从migu下载 ——> migu_Shivers...
2021-10-20 14:43:43 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:29 INFO     正在baiduFlac中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在kugou中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在kuwo中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在qq中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在qianqian中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在netease中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在migu中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在xiami中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在joox中搜索 ——> Ed Sheeran...
2021-10-20 14:45:29 INFO     正在yiting中搜索 ——> Ed Sheeran...
'_m_h5_tk'
2021-10-20 14:45:30 WARNING  无法在xiami中搜索 ——> Ed Sheeran...
Expecting value: line 1 column 1 (char 0)
2021-10-20 14:45:37 WARNING  无法在baiduFlac中搜索 ——> Ed Sheeran...
2021-10-20 14:45:45 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:47 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:47 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:45:49 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:45:49 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:45:50 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:45:50 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:45:52 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:45:52 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:45:53 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:45:53 INFO     正在从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:45:54 INFO     无法从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:45:54 INFO     正在从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:45:54 INFO     无法从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:45:54 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:56 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:56 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:57 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:57 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:59 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:45:59 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:45:59 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:45:59 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:00 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:00 INFO     正在从kuwo下载 ——> kuwo_Shape&nbsp;Of&nbsp;You&nbsp;(FTampa&nbsp;Remix)...
2021-10-20 14:46:02 INFO     成功从kuwo下载到了 ——> kuwo_Shape&nbsp;Of&nbsp;You&nbsp;(FTampa&nbsp;Remix)...
2021-10-20 14:46:02 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:02 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:02 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:02 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:02 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:02 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:02 INFO     正在从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:46:02 INFO     无法从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:46:02 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:03 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:03 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:04 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:04 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:05 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:05 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:05 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:05 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:05 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:05 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:06 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:06 INFO     正在从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:06 INFO     无法从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:06 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:08 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:08 INFO     正在从kugou下载 ——> kugou_Shape of You (Yxng Bane Remix)...
2021-10-20 14:46:08 INFO     无法从kugou下载 ——> kugou_Shape of You (Yxng Bane Remix)...
2021-10-20 14:46:08 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:09 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:09 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:10 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
